# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous)	moments(pressure viscous)
4.7             	((5.46891701e+00 -1.06682188e-06 2.38252419e-20) (6.98003128e-01 -3.15712892e-08 -4.29508249e-22)) ((1.19344464e-18 -3.06001722e-20 3.85651207e-13) (-8.65040923e-19 5.57538776e-22 -7.97482089e-09))
4.75            	((5.45654695e+00 -1.00997525e-06 2.36479913e-20) (6.96761416e-01 -2.92253427e-08 -4.25724385e-22)) ((1.19090433e-18 -3.05947023e-20 3.74585156e-13) (-8.66614270e-19 5.54421551e-22 -6.64149026e-09))
4.8             	((5.44195235e+00 -8.83264948e-07 2.34281534e-20) (6.95515706e-01 -2.68914787e-08 -4.21923433e-22)) ((1.18834340e-18 -3.05775523e-20 3.54739567e-13) (-8.68263097e-19 5.51253910e-22 -5.73758794e-09))
4.85            	((5.43193993e+00 -1.03133387e-06 2.32783941e-20) (6.94297074e-01 -2.55399678e-08 -4.18171022e-22)) ((1.18593759e-18 -3.05822442e-20 3.82162346e-13) (-8.69815780e-19 5.48126800e-22 -5.48977964e-09))
4.9             	((5.41994338e+00 -9.93517043e-07 2.30900036e-20) (6.93094182e-01 -2.55370313e-08 -4.14444265e-22)) ((1.18354925e-18 -3.05759106e-20 3.71633497e-13) (-8.71391976e-19 5.44978032e-22 -5.65604792e-09))
4.95            	((5.40795592e+00 -1.01436591e-06 2.29048194e-20) (6.91910267e-01 -2.61975850e-08 -4.10756895e-22)) ((1.18114169e-18 -3.05679469e-20 3.74416318e-13) (-8.72838202e-19 5.41834255e-22 -5.05109757e-09))
5               	((5.39599357e+00 -1.14336876e-06 2.27185043e-20) (6.90741789e-01 -2.72621065e-08 -4.07162401e-22)) ((1.17862907e-18 -3.05581292e-20 1.31705519e-13) (-8.74176140e-19 5.38692504e-22 -4.49470228e-09))
5.05            	((5.38716039e+00 -1.02748388e-06 2.25920731e-20) (6.89604055e-01 -2.80126146e-08 -4.03700301e-22)) ((1.17633073e-18 -3.05618523e-20 4.10187834e-13) (-8.75555455e-19 5.35674253e-22 -6.17212515e-09))
5.1             	((5.37722718e+00 -1.14202997e-06 2.24330203e-20) (6.88491375e-01 -3.00794353e-08 -4.00400036e-22)) ((1.17407194e-18 -3.05598732e-20 1.28229241e-13) (-8.76988493e-19 5.32630978e-22 -5.77640075e-09))
5.15            	((5.36771617e+00 -1.10143185e-06 2.22809622e-20) (6.87409788e-01 -3.11395498e-08 -3.97205711e-22)) ((1.17180225e-18 -3.05594261e-20 1.43079775e-13) (-8.78352281e-19 5.29668253e-22 -5.07612562e-09))
